nflweek,gameDate,otyn,roadTeam,rtTotalScore,rtScore1Q,rtScore2Q,rtScore3Q,rtScore4Q,rtScoreOT,rtFirstDowns,rt3DConv,rt3DAtt,rt4DConv,rt4DAtt,rtTYds,rtRushYds,rtPassYds,rtTO,rtSacks,rtPen,rtPenYds,homeTeam,htTotalScore,htScore1Q,htScore2Q,htScore3Q,htScore4Q,htScoreOT,htFirstDowns,ht3DConv,ht3DAtt,ht4DConv,ht4DAtt,htTYds,htRushYds,htPassYds,htTO,htSacks,htPen,htPenYds
3,2017-09-22,N,OAK,10,0,0,7,3,0,7,0,11,1,2,128,32,96,3,4,4,35,WAS,27,7,7,7,6,0,18,7,15,0,0,472,116,356,2,1,10,77
3,2017-09-23,N,DAL,28,0,7,7,14,0,15,2,9,0,0,273,99,174,0,1,9,76,ARI,17,7,0,7,3,0,22,8,18,0,1,332,49,283,0,6,6,50
4,2017-09-28,N,CHI,14,0,7,0,7,0,20,5,12,2,2,308,103,205,4,1,8,62,GB,35,14,7,7,7,0,17,7,14,1,1,260,91,169,0,2,7,55
4,2017-10-01,N,NO,20,0,3,7,10,0,22,6,13,1,2,347,86,261,0,1,8,71,MIA,0,0,0,0,0,0,11,1,8,0,1,186,58,128,1,4,11,90
4,2017-10-01,N,BUF,23,0,7,7,9,0,15,6,13,0,0,281,117,164,0,3,9,55,ATL,17,0,10,0,7,0,25,5,13,1,2,391,149,242,3,1,4,45
4,2017-10-01,N,CIN,31,0,21,10,0,0,25,6,11,0,0,350,86,264,1,3,8,66,CLE,7,0,0,0,7,0,16,5,16,1,2,215,45,170,1,2,4,28
4,2017-10-01,N,LAR,35,3,13,10,9,0,24,5,13,0,0,412,168,244,0,1,7,41,DAL,30,3,21,0,6,0,22,7,14,1,2,440,189,251,2,2,4,45
4,2017-10-01,N,DET,14,0,3,11,0,0,19,3,13,0,0,251,97,154,0,6,6,60,MIN,7,0,7,0,0,0,15,3,10,0,1,284,87,197,3,2,2,10
4,2017-10-01,N,CAR,33,3,14,6,10,0,28,6,9,0,0,444,140,304,2,2,1,33,NE,30,3,13,0,14,0,24,7,14,2,2,373,80,293,0,3,7,55
4,2017-10-01,Y,JAX,20,7,3,0,10,0,20,4,15,0,0,311,175,136,1,1,6,47,NYJ,23,7,3,10,0,3,18,6,17,1,1,471,256,215,2,5,10,70
4,2017-10-01,N,PIT,26,3,16,0,7,0,22,7,15,0,0,381,173,208,1,1,8,60,BAL,9,0,0,9,0,0,18,5,13,0,2,288,82,206,3,4,6,55
4,2017-10-01,N,TEN,14,0,14,0,0,0,9,2,8,0,0,195,86,109,5,2,6,88,HOU,57,14,16,7,20,0,33,6,12,1,1,445,173,272,1,2,3,20
4,2017-10-01,Y,SF,15,3,3,6,0,3,20,5,19,1,1,305,95,210,1,3,13,113,ARI,18,0,6,3,3,6,25,5,16,0,0,368,51,317,1,6,10,80
4,2017-10-01,N,PHI,26,10,6,3,7,0,26,9,16,1,1,454,214,240,0,1,9,58,LAC,24,0,10,0,14,0,18,5,10,0,0,400,58,342,1,2,9,39
4,2017-10-01,N,NYG,23,0,10,7,6,0,24,8,17,0,1,379,91,288,0,0,1,0,TB,25,13,3,0,9,0,20,3,11,0,1,434,111,323,0,1,4,19
4,2017-10-01,N,OAK,10,0,7,0,3,0,11,2,12,0,3,254,24,230,1,3,7,75,DEN,16,10,0,6,0,0,16,5,16,0,0,298,143,155,0,4,6,40
4,2017-10-01,N,IND,18,2,13,3,0,0,16,6,14,0,0,237,98,139,2,3,5,31,SEA,46,3,7,22,14,0,22,10,15,1,1,477,194,283,2,3,6,45
4,2017-10-02,N,WAS,20,10,0,7,3,0,15,4,11,1,1,331,111,220,1,0,7,44,KC,29,0,7,10,12,0,29,8,13,0,0,429,168,261,0,4,3,15
5,2017-10-05,N,NE,19,3,10,3,3,0,23,4,12,0,0,402,113,289,2,3,12,108,TB,14,0,7,0,7,0,26,4,13,0,0,409,90,319,0,2,9,70
5,2017-10-08,N,BUF,16,3,7,3,3,0,17,6,18,0,0,221,82,139,1,6,6,71,CIN,20,7,3,0,10,0,18,6,15,0,0,388,65,323,3,1,6,71
5,2017-10-08,N,NYJ,17,0,3,7,7,0,14,4,12,0,0,212,34,178,1,3,9,80,CLE,14,0,0,7,7,0,22,6,14,1,2,419,140,279,3,1,6,60
5,2017-10-08,N,CAR,27,3,14,10,0,0,16,7,16,0,0,362,28,334,0,3,11,100,DET,24,3,7,0,14,0,19,5,13,0,1,242,50,192,1,6,1,10
5,2017-10-08,Y,SF,23,3,3,0,17,0,23,4,14,2,2,402,66,336,0,2,10,77,IND,26,3,3,10,7,3,25,8,16,0,0,447,159,288,1,4,7,62
5,2017-10-08,N,TEN,10,0,3,7,0,0,14,2,13,0,0,188,69,119,2,6,11,77,MIA,16,10,0,0,6,0,12,5,15,0,0,178,100,78,2,1,5,23
5,2017-10-08,N,LAC,27,0,10,7,10,0,21,8,18,0,0,382,124,258,1,0,11,87,NYG,22,9,0,7,6,0,18,5,15,0,1,335,152,183,2,5,10,67
5,2017-10-08,N,ARI,7,0,7,0,0,0,16,4,14,2,3,307,31,276,1,2,7,61,PHI,34,21,0,10,3,0,19,9,14,0,0,419,122,297,1,1,5,60
5,2017-10-08,N,JAX,30,0,7,13,10,0,15,6,12,0,0,313,231,82,1,2,4,19,PIT,9,3,3,3,0,0,21,7,15,0,0,371,70,301,5,2,5,37
5,2017-10-08,N,BAL,30,14,10,0,6,0,19,7,14,0,0,365,143,222,0,0,1,5,OAK,17,3,7,7,0,0,15,6,12,0,1,245,108,137,1,3,3,24
5,2017-10-08,N,SEA,16,0,10,3,3,0,15,8,17,0,0,241,62,179,2,3,7,40,LAR,10,0,10,0,0,0,21,8,15,0,1,375,100,275,5,2,5,45
5,2017-10-08,N,GB,35,6,6,3,20,0,25,3,7,1,1,342,160,182,1,4,6,38,DAL,31,7,14,0,10,0,26,7,12,3,3,408,163,245,3,1,7,70
5,2017-10-08,N,KC,42,3,20,0,19,0,29,9,16,0,0,450,127,323,0,1,6,64,HOU,34,0,7,6,21,0,20,3,10,1,1,392,144,248,1,3,7,59
5,2017-10-09,N,MIN,20,0,3,14,3,0,17,6,15,0,0,300,159,141,0,4,9,69,CHI,17,2,0,7,8,0,16,3,12,1,1,274,115,159,2,1,8,55
6,2017-10-12,N,PHI,28,3,7,11,7,0,15,5,14,1,1,310,101,209,1,3,10,126,CAR,23,3,7,6,7,0,23,4,16,1,3,305,80,225,3,2,1,1
6,2017-10-15,N,MIA,20,0,0,14,6,0,20,5,12,2,3,289,138,151,1,0,4,42,ATL,17,10,7,0,0,0,19,6,11,0,1,339,100,239,1,2,6,73
6,2017-10-15,N,GB,10,0,10,0,0,0,14,4,17,2,3,227,72,155,3,4,8,92,MIN,23,0,14,3,6,0,24,4,12,0,1,351,112,239,2,0,7,65
6,2017-10-15,N,DET,38,7,3,14,14,0,18,9,18,0,1,347,66,281,5,5,7,46,NO,52,17,14,14,7,0,19,2,12,1,1,379,193,186,3,0,13,118
6,2017-10-15,N,NE,24,0,14,7,3,0,23,7,13,0,0,375,118,257,2,0,6,45,NYJ,17,7,7,0,3,0,23,9,17,1,3,408,74,334,3,4,6,69
6,2017-10-15,N,SF,24,0,7,10,7,0,21,6,17,1,2,335,85,250,1,3,7,40,WAS,26,7,10,0,9,0,25,7,14,0,0,419,94,325,2,1,5,43
6,2017-10-15,Y,CHI,27,0,10,7,7,3,18,5,17,0,0,342,231,111,2,4,5,44,BAL,24,0,3,7,14,0,16,3,18,1,1,291,125,166,3,3,8,69
6,2017-10-15,N,CLE,17,3,0,0,14,0,16,3,14,0,0,247,134,113,3,4,11,72,HOU,33,10,14,9,0,0,18,5,13,0,0,340,123,217,1,1,4,44
6,2017-10-15,N,TB,33,0,0,6,27,0,21,7,14,2,3,414,70,344,2,2,9,49,ARI,38,14,10,7,7,0,23,4,9,0,1,432,160,272,2,2,7,61
6,2017-10-15,N,LAR,27,17,7,0,3,0,12,4,13,0,0,249,142,107,1,3,7,70,JAX,17,14,0,3,0,0,19,4,15,1,1,389,169,220,1,5,5,40
6,2017-10-15,N,PIT,19,2,10,0,7,0,23,4,11,0,0,439,194,245,1,1,6,57,KC,13,3,0,0,10,0,12,3,11,0,2,251,28,223,0,3,7,48
6,2017-10-15,N,LAC,17,0,7,0,10,0,20,6,14,1,2,343,80,263,1,1,4,32,OAK,16,7,3,0,6,0,15,6,12,0,1,274,109,165,2,1,5,40
6,2017-10-15,N,NYG,23,3,14,3,3,0,12,4,14,0,0,266,148,118,0,3,5,77,DEN,10,0,3,0,7,0,20,5,17,0,2,412,46,366,3,4,5,46
6,2017-10-16,N,IND,22,3,10,6,3,0,18,2,9,0,1,297,85,212,1,1,5,51,TEN,36,6,3,6,21,0,25,6,13,1,1,473,168,305,1,1,4,45
7,2017-10-19,N,KC,30,10,10,10,0,0,19,8,15,0,0,425,94,331,0,1,8,108,OAK,31,14,0,7,10,0,32,6,13,1,1,505,88,417,0,0,10,97
7,2017-10-22,N,TB,27,6,0,7,14,0,27,6,11,0,0,447,69,378,3,1,5,55,BUF,30,3,7,7,13,0,23,10,16,0,0,434,173,261,1,1,4,35
7,2017-10-22,N,CAR,3,0,3,0,0,0,20,6,15,0,1,293,108,185,3,5,4,35,CHI,17,7,10,0,0,0,5,2,11,0,0,153,68,85,0,4,5,40
7,2017-10-22,Y,TEN,12,3,3,0,3,3,16,5,17,0,1,269,80,189,1,2,5,35,CLE,9,0,3,3,3,0,19,3,13,1,2,284,66,218,3,2,12,81
7,2017-10-22,N,NO,26,0,7,9,10,0,25,8,15,1,1,485,161,324,2,1,7,80,GB,17,7,7,0,3,0,16,4,11,0,0,260,181,79,1,1,8,54
7,2017-10-22,N,JAX,27,14,6,7,0,0,23,8,14,0,1,518,188,330,2,1,4,34,IND,0,0,0,0,0,0,15,5,15,0,3,232,96,136,0,10,5,55
7,2017-10-22,N,ARI,0,0,0,0,0,0,10,3,12,1,2,193,25,168,2,3,10,65,LAR,33,3,20,3,7,0,28,13,19,0,0,425,197,228,1,1,6,45
7,2017-10-22,N,NYJ,28,14,7,7,0,0,16,4,11,0,0,272,92,180,2,3,12,124,MIA,31,7,7,0,17,0,25,5,13,0,0,357,53,304,2,3,9,76
7,2017-10-22,N,BAL,16,3,3,3,7,0,16,6,16,1,1,208,64,144,0,5,3,15,MIN,24,3,6,9,6,0,17,7,15,0,0,357,169,188,1,0,4,47
7,2017-10-22,N,DAL,40,14,6,13,7,0,27,7,11,0,1,501,265,236,0,0,5,36,SF,10,3,0,0,7,0,23,6,13,0,2,290,103,187,3,5,2,22
