season,week,gameDate,roadTeam,rTotalScore,rScore1Q,rScore2Q,rScore3Q,rScore4Q,rScoreOT,homeTeam,hTotalScore,hScore1Q,hScore2Q,hScore3Q,hScore4Q,hScoreOT
2017,8,2017-10-29,N,CAR,17,7,3,0,7,0,TB,3,0,0,3,0,0
2017,8,2017-10-29,N,HOU,38,14,7,3,14,0,SEA,41,14,7,6,14,0
2017,8,2017-10-29,N,DAL,33,7,7,9,10,0,WAS,19,10,3,0,6,0
2017,8,2017-10-29,N,PIT,20,3,7,10,0,0,DET,15,3,9,0,3,0
2017,8,2017-10-30,N,DEN,19,0,3,10,6,0,KC,29,14,3,3,9,0
2017,9,2017-11-02,N,BUF,21,0,7,0,14,0,NYJ,34,7,3,14,10,0
2017,9,2017-11-05,N,BAL,20,3,3,0,14,0,TEN,23,10,6,0,7,0
2017,9,2017-11-05,N,TB,10,0,3,0,7,0,NO,30,9,7,14,0,0
2017,9,2017-11-05,N,LAR,51,7,20,21,3,0,NYG,17,7,3,0,7,0
2017,9,2017-11-05,N,DEN,23,3,6,0,14,0,PHI,51,17,14,13,7,0
2017,9,2017-11-05,N,ATL,17,10,0,0,7,0,CAR,20,0,14,6,0,0
2017,9,2017-11-05,N,CIN,7,0,7,0,0,0,JAX,23,3,10,3,7,0
2017,9,2017-11-05,N,IND,20,7,3,7,3,0,HOU,14,0,7,0,7,0
2017,9,2017-11-05,N,ARI,20,7,7,0,6,0,SF,10,0,3,7,0,0
2017,9,2017-11-05,N,WAS,17,0,7,3,7,0,SEA,14,2,0,0,12,0
2017,9,2017-11-05,N,KC,17,0,10,7,0,0,DAL,28,7,7,7,7,0
2017,9,2017-11-05,N,OAK,27,3,10,7,7,0,MIA,24,0,9,7,8,0
2017,9,2017-11-06,N,DET,30,7,7,3,13,0,GB,17,0,3,0,14,0
2017,10,2017-11-09,N,SEA,22,7,8,0,7,0,ARI,16,0,7,3,6,0
2017,10,2017-11-12,N,NO,47,7,10,20,10,0,BUF,10,3,0,0,7,0
2017,10,2017-11-12,N,GB,23,3,7,3,10,0,CHI,16,3,3,0,10,0
2017,10,2017-11-12,N,CLE,24,10,0,14,0,0,DET,38,3,14,7,14,0
2017,10,2017-11-12,N,CIN,20,6,7,0,7,0,TEN,24,7,10,0,7,0
2017,10,2017-11-12,N,PIT,20,0,3,6,11,0,IND,17,0,10,7,0,0
2017,10,2017-11-12,N,NYJ,10,0,3,0,7,0,TB,15,3,0,6,6,0
2017,10,2017-11-12,N,MIN,38,7,21,7,3,0,WAS,30,10,7,3,10,0
2017,10,2017-11-12,Y,LAC,17,0,7,7,3,0,JAX,20,6,0,8,3,3
2017,10,2017-11-12,N,HOU,7,0,7,0,0,0,LAR,33,3,6,21,3,0
2017,10,2017-11-12,N,DAL,7,7,0,0,0,0,ATL,27,3,7,7,10,0
2017,10,2017-11-12,N,NYG,21,6,7,0,8,0,SF,31,3,14,0,14,0
2017,10,2017-11-12,N,NE,41,14,13,7,7,0,DEN,16,6,3,7,0,0
2017,10,2017-11-13,N,MIA,21,0,7,7,7,0,CAR,45,3,14,21,7,0
2017,11,2017-11-16,N,TEN,17,7,0,10,0,0,PIT,40,10,6,7,17,0
2017,11,2017-11-19,N,DET,27,0,21,0,6,0,CHI,24,10,7,0,7,0
2017,11,2017-11-19,N,JAX,19,7,3,0,9,0,CLE,7,0,7,0,0,0
2017,11,2017-11-19,N,BAL,23,0,6,7,10,0,GB,0,0,0,0,0,0
2017,11,2017-11-19,N,TB,30,3,17,0,10,0,MIA,20,7,0,6,7,0
2017,11,2017-11-19,N,LAR,7,7,0,0,0,0,MIN,24,0,7,0,17,0
2017,11,2017-11-19,Y,WAS,31,10,7,7,7,0,NO,34,10,3,0,18,3
2017,11,2017-11-19,Y,KC,9,0,3,0,6,0,NYG,12,0,6,0,3,3
